registry	unit	frame	side	bbox	component_area_in_cell	donor_neighbor	flags
body	hit0	F0	right	[68, 12, 187, 235]	503	F1:103238px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
body	hit0	F0	right	[68, 12, 187, 235]	1	F1:15px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
body	hit0	F1	left	[59, 12, 197, 238]	103238	F0:503px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
body	hit0	F1	right	[59, 12, 197, 238]	508	F2:93287px,F3:3046px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
body	hit0	F1	right	[59, 12, 197, 238]	15	F2:3px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
body	hit0	F1	left	[59, 12, 197, 238]	15	F0:1px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
body	hit0	F2	left,right	[57, 12, 198, 233]	93287	F1:508px,F3:3046px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
body	hit0	F2	right	[57, 12, 198, 233]	42	F3:12px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
body	hit0	F2	left	[57, 12, 198, 233]	3	F1:15px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
body	hit0	F3	right	[54, 12, 201, 239]	87818	F4:99654px,F5:115757px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
body	hit0	F3	left	[54, 12, 201, 239]	3046	F1:508px,F2:93287px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
body	hit0	F3	left	[54, 12, 201, 239]	12	F2:42px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
body	hit0	F4	left,right	[53, 12, 202, 244]	99654	F3:87818px,F5:115757px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
body	hit0	F4	right	[53, 12, 202, 244]	3	F5:28px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
body	hit0	F5	left	[64, 12, 191, 244]	115757	F3:87818px,F4:99654px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
body	hit0	F5	left	[64, 12, 191, 244]	28	F4:3px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
body	hit1	F0	right	[62, 12, 193, 244]	102	F1:97820px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
body	hit1	F1	right	[56, 12, 199, 237]	1375	F2:105567px,F3:1008px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
body	hit1	F1	left	[56, 12, 199, 237]	97820	F0:102px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
body	hit1	F2	left,right	[56, 12, 200, 244]	105567	F1:1375px,F3:1008px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
body	hit1	F3	right	[53, 12, 202, 244]	95491	F4:89133px,F5:95958px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
body	hit1	F3	left	[53, 12, 202, 244]	1008	F1:1375px,F2:105567px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
body	hit1	F4	left,right	[58, 34, 198, 244]	89133	F3:95491px,F5:95958px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
body	hit1	F4	right	[58, 34, 198, 244]	1	F5:1px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
body	hit1	F5	left	[67, 12, 189, 228]	95958	F3:95491px,F4:89133px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
body	hit1	F5	left	[67, 12, 189, 228]	1	F4:1px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
body	hit2	F0	right	[69, 12, 186, 242]	101291	F1:83878px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
body	hit2	F1	left	[51, 12, 205, 244]	83878	F0:101291px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
body	hit2	F1	right	[51, 12, 205, 244]	2076	F2:77248px,F3:986px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
body	hit2	F2	right	[58, 41, 198, 244]	2542	F3:81802px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
body	hit2	F2	left,right	[58, 41, 198, 244]	77248	F1:2076px,F3:986px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
body	hit2	F3	left	[53, 12, 203, 239]	81802	F2:2542px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
body	hit2	F3	right	[53, 12, 203, 239]	761	F4:79987px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
body	hit2	F3	left	[53, 12, 203, 239]	986	F1:2076px,F2:77248px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
body	hit2	F3	right	[53, 12, 203, 239]	2	F4:3px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
body	hit2	F4	right	[61, 12, 194, 244]	638	F5:86281px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
body	hit2	F4	left	[61, 12, 194, 244]	79987	F3:761px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
body	hit2	F4	left	[61, 12, 194, 244]	3	F3:2px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
body	hit2	F5	left	[66, 12, 189, 244]	86281	F4:638px	source_component_crossed_cell_edge,weapon_or_body_half_shape_risk
vfx	g1/hit1	F0	right	[53, 44, 203, 232]	8398	F1:30904px	source_component_crossed_cell_edge,vfx_gutter_or_neighbor_shape_risk
