visualPhaseId	parentSkillId	identityType	subfamily	paletteCode	signatureName	signatureHex	auxiliaryName	auxiliaryHex	grade	renderState	coverageRule
skill.character.black_cloth_raider.1.basic_attack.black_knife_cut.visual	skill.character.black_cloth_raider.1.basic_attack.black_knife_cut	root	I-S	EI	iron_soot	#4B5558	oxidized_rust	#B45A43	G1	R	signature60-82_aux18-40_other0
skill.character.bone_axe_pursuer.1.basic_attack.rough_axe_chop.visual	skill.character.bone_axe_pursuer.1.basic_attack.rough_axe_chop	root	I-S	EI	iron_soot	#4B5558	oxidized_rust	#B45A43	G1	R	signature60-82_aux18-40_other0
skill.character.cage_guard_bandit.2.basic_attack.club_slam.visual	skill.character.cage_guard_bandit.2.basic_attack.club_slam	root	I-B	EI	iron_soot	#4B5558	oxidized_rust	#B45A43	G2	R	signature60-82_aux18-40_other0
skill.character.chain_axe_enforcer.2.active_1.yard_cleave.visual	skill.character.chain_axe_enforcer.2.active_1.yard_cleave	root	I-S	EI	iron_soot	#4B5558	oxidized_rust	#B45A43	G2	NR	signature60-82_aux18-40_other0
skill.character.chain_axe_enforcer.2.basic_attack.heavy_chain_axe.visual	skill.character.chain_axe_enforcer.2.basic_attack.heavy_chain_axe	root	I-S	EI	iron_soot	#4B5558	oxidized_rust	#B45A43	G2	R	signature60-82_aux18-40_other0
skill.character.door_shield_barricader.1.basic_attack.shield_bash.visual	skill.character.door_shield_barricader.1.basic_attack.shield_bash	root	I-B	EI	iron_soot	#4B5558	oxidized_rust	#B45A43	G1	R	signature60-82_aux18-40_other0
skill.character.hut_blocker_guard.2.basic_attack.doorway_slam.visual	skill.character.hut_blocker_guard.2.basic_attack.doorway_slam	root	I-B	EI	iron_soot	#4B5558	oxidized_rust	#B45A43	G2	R	signature60-82_aux18-40_other0
skill.character.marked_pack_leader.2.basic_attack.leader_bite.visual	skill.character.marked_pack_leader.2.basic_attack.leader_bite	root	I-K	EB	earth_fur	#77624B	wound_breath_rust	#B65B47	G2	R	signature60-82_aux18-40_other0
skill.character.mountain_fort_spearman.1.basic_attack.gate_spear_thrust.visual	skill.character.mountain_fort_spearman.1.basic_attack.gate_spear_thrust	root	I-P	EI	iron_soot	#4B5558	oxidized_rust	#B45A43	G1	R	signature60-82_aux18-40_other0
skill.character.mud_hood_polehooker.1.basic_attack.hook_poke.visual	skill.character.mud_hood_polehooker.1.basic_attack.hook_poke	root	I-P	EI	iron_soot	#4B5558	oxidized_rust	#B45A43	G1	R	signature60-82_aux18-40_other0
skill.character.nameless_tablet_guardian.3.basic_attack.tablet_bash.visual	skill.character.nameless_tablet_guardian.3.basic_attack.tablet_bash	root	I-B	EW	wraith_inkblue	#495D70	muted_violet	#8B6FA3	G3	R	signature60-82_aux18-40_other0
skill.character.sangui_abandoned_child.3.basic_attack.grudge_scratch.visual	skill.character.sangui_abandoned_child.3.basic_attack.grudge_scratch	root	I-K	EW	wraith_inkblue	#495D70	muted_violet	#8B6FA3	G3	R	signature60-82_aux18-40_other0
skill.character.seojin.1.active_1.active_1.visual	skill.character.seojin.1.active_1.active_1	root	I-S	SJ	seojin_navy	#294A68	heated_iron_rust	#C65743	G1	R	signature60-82_aux18-40_other0
skill.character.seojin.1.basic_attack.basic_attack.visual	skill.character.seojin.1.basic_attack.basic_attack	root	I-S	SJ	seojin_navy	#294A68	heated_iron_rust	#C65743	G1	R	signature60-82_aux18-40_other0
skill.character.seojin.2.active_1.charge.visual	skill.character.seojin.2.active_1.charge	root	I-S	SJ	seojin_navy	#294A68	heated_iron_rust	#C65743	G2	R	signature60-82_aux18-40_other0
skill.character.seojin.2.basic_attack.basic_attack.visual	skill.character.seojin.2.basic_attack.basic_attack	root	I-S	SJ	seojin_navy	#294A68	heated_iron_rust	#C65743	G2	R	signature60-82_aux18-40_other0
skill.character.seojin.3.active_1.charge.visual	skill.character.seojin.3.active_1.charge	root	I-S	SJ	seojin_navy	#294A68	heated_iron_rust	#C65743	G3	R	signature60-82_aux18-40_other0
skill.character.seojin.3.active_3.turtle_ship_assault.visual	skill.character.seojin.3.active_3.turtle_ship_assault	root	I-X	SJ	seojin_navy	#294A68	heated_iron_rust	#C65743	G3	R	signature60-82_aux18-40_other0
skill.character.seojin.3.basic_attack.basic_attack.visual	skill.character.seojin.3.basic_attack.basic_attack	root	I-S	SJ	seojin_navy	#294A68	heated_iron_rust	#C65743	G3	R	signature60-82_aux18-40_other0
skill.character.starving_mountain_wolf.1.basic_attack.hunger_bite.visual	skill.character.starving_mountain_wolf.1.basic_attack.hunger_bite	root	I-K	EB	earth_fur	#77624B	wound_breath_rust	#B65B47	G1	R	signature60-82_aux18-40_other0
skill.character.track_eraser_scout.1.basic_attack.short_spear_probe.visual	skill.character.track_eraser_scout.1.basic_attack.short_spear_probe	root	I-P	EI	iron_soot	#4B5558	oxidized_rust	#B45A43	G1	R	signature60-82_aux18-40_other0
skill.character.training_ground_captain.2.active_1.break_the_line.visual	skill.character.training_ground_captain.2.active_1.break_the_line	root	I-S	EI	iron_soot	#4B5558	oxidized_rust	#B45A43	G2	NR	signature60-82_aux18-40_other0
skill.character.training_ground_captain.2.basic_attack.captain_cut.visual	skill.character.training_ground_captain.2.basic_attack.captain_cut	root	I-S	EI	iron_soot	#4B5558	oxidized_rust	#B45A43	G2	R	signature60-82_aux18-40_other0
skill.character.training_ground_skirmisher.1.basic_attack.low_step_cut.visual	skill.character.training_ground_skirmisher.1.basic_attack.low_step_cut	root	I-S	EI	iron_soot	#4B5558	oxidized_rust	#B45A43	G1	R	signature60-82_aux18-40_other0
skill.strategic.blackwind_bomb.visual	skill.strategic.blackwind_bomb	root	I-X	SW	wind_graygreen	#688270	dry_grass_amber	#B58B4E	GX	R	signature60-82_aux18-40_other0
skill.strategic.crushing_war_cry.visual	skill.strategic.crushing_war_cry	root	I-X	SN	neutral_ironink	#4E5A5E	restrained_rust	#A75D49	GX	R	signature60-82_aux18-40_other0
skill.strategic.flash_charm.visual	skill.strategic.flash_charm	root	I-X	ST	thunder_inkblue	#496C91	muted_violet	#806DAA	GX	R	signature60-82_aux18-40_other0
skill.strategic.heavenfall_thunder.visual	skill.strategic.heavenfall_thunder	root	I-X	ST	thunder_inkblue	#496C91	muted_violet	#806DAA	GX	R	signature60-82_aux18-40_other0
skill.strategic.nine_heavens_thunderfall_formation.visual	skill.strategic.nine_heavens_thunderfall_formation	root	I-X	ST	thunder_inkblue	#496C91	muted_violet	#806DAA	GX	R	signature60-82_aux18-40_other0
skill.strategic.soulbreaking_formation.visual	skill.strategic.soulbreaking_formation	root	I-X	SG	ghost_ink	#455E60	muted_jade	#65A78F	GX	R	signature60-82_aux18-40_other0
skill.strategic.ten_thousand_thunder_charm.visual	skill.strategic.ten_thousand_thunder_charm	root	I-X	ST	thunder_inkblue	#496C91	muted_violet	#806DAA	GX	R	signature60-82_aux18-40_other0
skill.strategic.thundercrash_orb.visual	skill.strategic.thundercrash_orb	root	I-X	ST	thunder_inkblue	#496C91	muted_violet	#806DAA	GX	R	signature60-82_aux18-40_other0
skill.character.red_doll_hexer.2.basic_attack.charm_toss.visual	skill.character.red_doll_hexer.2.basic_attack.charm_toss	root	I-X	EX	ritual_red	#A8444F	muted_violet	#86669A	G2	R	signature60-82_aux18-40_other0
skill.character.ritual_bell_handler.2.basic_attack.bell_charm_throw.visual	skill.character.ritual_bell_handler.2.basic_attack.bell_charm_throw	root	I-X	EX	ritual_red	#A8444F	muted_violet	#86669A	G2	R	signature60-82_aux18-40_other0
skill.character.abandoned_shrine_wraith.2.basic_attack.cold_whisper.visual	skill.character.abandoned_shrine_wraith.2.basic_attack.cold_whisper	root	P-Z	EW	wraith_inkblue	#495D70	muted_violet	#8B6FA3	G2	R	signature60-82_aux18-40_other0
skill.character.chain_dragger_raider.1.basic_attack.chain_swing.visual	skill.character.chain_dragger_raider.1.basic_attack.chain_swing	root	P-C	EI	iron_soot	#4B5558	oxidized_rust	#B45A43	G1	R	signature60-82_aux18-40_other0
skill.character.child_snatcher_netman.1.basic_attack.weighted_net_cast.visual	skill.character.child_snatcher_netman.1.basic_attack.weighted_net_cast	root	P-T	EI	iron_soot	#4B5558	oxidized_rust	#B45A43	G1	R	signature60-82_aux18-40_other0
skill.character.jihan.1.basic_attack.basic_attack.visual	skill.character.jihan.1.basic_attack.basic_attack	root	P-T	JH	medicinal_ochre	#9B7A45	herb_jade	#62B98F	G1	R	signature60-82_aux18-40_other0
skill.character.jihan.2.basic_attack.basic_attack.visual	skill.character.jihan.2.basic_attack.basic_attack	root	P-T	JH	medicinal_ochre	#9B7A45	herb_jade	#62B98F	G2	R	signature60-82_aux18-40_other0
skill.character.jihan.3.basic_attack.basic_attack.visual	skill.character.jihan.3.basic_attack.basic_attack	root	P-T	JH	medicinal_ochre	#9B7A45	herb_jade	#62B98F	G3	R	signature60-82_aux18-40_other0
skill.character.mountain_path_archer.1.basic_attack.hidden_arrow.visual	skill.character.mountain_path_archer.1.basic_attack.hidden_arrow	root	P-A	EI	iron_soot	#4B5558	oxidized_rust	#B45A43	G1	R	signature60-82_aux18-40_other0
skill.character.watchtower_marksman.1.basic_attack.high_post_arrow.visual	skill.character.watchtower_marksman.1.basic_attack.high_post_arrow	root	P-A	EI	iron_soot	#4B5558	oxidized_rust	#B45A43	G1	R	signature60-82_aux18-40_other0
