main_key,sub_key,ko,en
character.military_officer.1,name,서진 (전위병),
character.abandoned_shrine_wraith.2,name,버려진 사당 원혼,
character.black_cloth_raider.1,name,검은 천 습격자,
character.bone_axe_pursuer.1,name,뼈장식 도끼 추격자,
character.cage_guard_bandit.2,name,우리 지키는 산적,
character.chain_axe_enforcer.2,name,쇠사슬 도끼 집행자,
character.chain_dragger_raider.1,name,사슬 끄는 습격자,
character.child_snatcher_netman.1,name,아이 포획 그물잡이,
character.door_shield_barricader.1,name,문짝 방패병,
character.hut_blocker_guard.2,name,오두막 입구 막이,
character.jihan.1,name,지한,
character.jihan.2,name,지한,
character.jihan.3,name,지한,
character.marked_pack_leader.2,name,흰눈 무리 우두머리,
character.mountain_fort_spearman.1,name,산채 창병,
character.mountain_path_archer.1,name,산길 활잡이,
character.mud_hood_polehooker.1,name,진흙 두건 장대꾼,
character.nameless_tablet_guardian.3,name,이름 없는 위패 수호령,
character.red_doll_hexer.2,name,붉은 인형 주술꾼,
character.ritual_bell_handler.2,name,의식 방울잡이,
character.sangui_abandoned_child.3,name,산귀가 된 버려진 아이,
character.seojin.1,name,서진,
character.seojin.2,name,서진,
character.seojin.3,name,서진,
character.starving_mountain_wolf.1,name,굶주린 산짐승,
character.track_eraser_scout.1,name,흔적 지우는 정찰병,
character.training_ground_captain.2,name,수련장 우두머리,
character.training_ground_skirmisher.1,name,수련장 경량 감시자,
character.watchtower_marksman.1,name,망루 먹칠 궁수,
character.yujin.1,name,유진,
character.yujin.2,name,유진,
character.yujin.3.clone,name,유진,
character.yujin.3,name,유진,
