main_key,sub_key,ko,en
faith.combat,name,혈호전,
faith.combat,desc,전투와 투쟁의 신전,
faith.arcane,name,현천관,
faith.arcane,desc,도술과 선인의 신전,
faith.astral,name,천문각,
faith.astral,desc,별과 운명의 신전,
faith.shadow,name,흑월사,
faith.shadow,desc,금기와 암흑의 신전,
faith.prosperity,name,금천루,
faith.prosperity,desc,탐욕과 거래의 신전,
faith.vitality,name,약왕전,
faith.vitality,desc,생명과 의술의 신전,
character.job.SoldierBase,name,군졸,
character.job.SoldierFirst,name,장군,
character.job.SoldierSecond,name,이순신,
character.job.SoldierAltFirst,name,칠성군관,
character.job.SoldierAltSecond,name,을지문덕,
character.job.ArcherBase,name,궁수,
character.job.ArcherFirst,name,신궁,
character.job.ArcherSecond,name,주몽,
character.job.ArcherAltFirst,name,현상금 사냥꾼,
character.job.ArcherAltSecond,name,홍길동,
character.job.ScholarBase,name,유생,
character.job.ScholarFirst,name,병법가,
character.job.ScholarSecond,name,강감찬,
character.job.ScholarAltFirst,name,도사,
character.job.ScholarAltSecond,name,전우치,
character.job.PhysicianBase,name,의관,
character.job.PhysicianFirst,name,전장의 의원,
character.job.PhysicianSecond,name,허준,
character.job.PhysicianAltFirst,name,신의관,
character.job.PhysicianAltSecond,name,유의태,
character.job.MonkBase,name,승려,
character.job.MonkFirst,name,금강승,
character.job.MonkSecond,name,김윤후,
character.job.MonkAltFirst,name,파계승,
character.job.MonkAltSecond,name,궁예,
bless.faith.combat.basic.level_01,name,전장의 본능,
bless.faith.combat.basic.level_01,desc,적 100마리 처치 시 공격력 +1,
bless.faith.combat.basic.level_02,name,전장의 본능,
bless.faith.combat.basic.level_02,desc,적 100마리 처치 시 공격력 +1.5,
bless.faith.combat.basic.level_03,name,전장의 본능,
bless.faith.combat.basic.level_03,desc,적 100마리 처치 시 공격력 +2,
bless.faith.combat.basic.level_04,name,전장의 본능,
bless.faith.combat.basic.level_04,desc,적 100마리 처치 시 공격력 +2.5,
bless.faith.combat.basic.level_05,name,전장의 본능,
bless.faith.combat.basic.level_05,desc,적 100마리 처치 시 공격력 +3,
bless.faith.combat.basic.level_06,name,전장의 본능,
bless.faith.combat.basic.level_06,desc,적 100마리 처치 시 공격력 +3.5,
bless.faith.combat.basic.level_07,name,전장의 본능,
bless.faith.combat.basic.level_07,desc,적 100마리 처치 시 공격력 +4,
bless.faith.combat.basic.level_08,name,전장의 본능,
bless.faith.combat.basic.level_08,desc,적 100마리 처치 시 공격력 +5,
bless.faith.combat.basic.level_09,name,전장의 본능,
bless.faith.combat.basic.level_09,desc,적 100마리 처치 시 공격력 +5.5,
bless.faith.combat.basic.level_10,name,전장의 본능,
bless.faith.combat.basic.level_10,desc,적 100마리 처치 시 공격력 +6,
bless.faith.arcane.basic.level_01,name,선인의 묘수,
bless.faith.arcane.basic.level_01,desc,스킬 사용 시 3% 확률로 해당 스킬의 쿨타임 초기화,
bless.faith.arcane.basic.level_02,name,선인의 묘수,
bless.faith.arcane.basic.level_02,desc,스킬 사용 시 4% 확률로 해당 스킬의 쿨타임 초기화,
bless.faith.arcane.basic.level_03,name,선인의 묘수,
bless.faith.arcane.basic.level_03,desc,스킬 사용 시 5% 확률로 해당 스킬의 쿨타임 초기화,
bless.faith.arcane.basic.level_04,name,선인의 묘수,
bless.faith.arcane.basic.level_04,desc,스킬 사용 시 6% 확률로 해당 스킬의 쿨타임 초기화,
bless.faith.arcane.basic.level_05,name,선인의 묘수,
bless.faith.arcane.basic.level_05,desc,스킬 사용 시 7% 확률로 해당 스킬의 쿨타임 초기화,
bless.faith.arcane.basic.level_06,name,선인의 묘수,
bless.faith.arcane.basic.level_06,desc,스킬 사용 시 8% 확률로 해당 스킬의 쿨타임 초기화,
bless.faith.arcane.basic.level_07,name,선인의 묘수,
bless.faith.arcane.basic.level_07,desc,스킬 사용 시 9% 확률로 해당 스킬의 쿨타임 초기화,
bless.faith.arcane.basic.level_08,name,선인의 묘수,
bless.faith.arcane.basic.level_08,desc,스킬 사용 시 10% 확률로 해당 스킬의 쿨타임 초기화,
bless.faith.arcane.basic.level_09,name,선인의 묘수,
bless.faith.arcane.basic.level_09,desc,스킬 사용 시 11% 확률로 해당 스킬의 쿨타임 초기화,
bless.faith.arcane.basic.level_10,name,선인의 묘수,
bless.faith.arcane.basic.level_10,desc,스킬 사용 시 12% 확률로 해당 스킬의 쿨타임 초기화,
bless.faith.astral.basic.level_01,name,칠성의 가호,
bless.faith.astral.basic.level_01,desc,15초마다 1초 무적,
bless.faith.astral.basic.level_02,name,칠성의 가호,
bless.faith.astral.basic.level_02,desc,15초마다 1.1초 무적,
bless.faith.astral.basic.level_03,name,칠성의 가호,
bless.faith.astral.basic.level_03,desc,15초마다 1.2초 무적,
bless.faith.astral.basic.level_04,name,칠성의 가호,
bless.faith.astral.basic.level_04,desc,15초마다 1.3초 무적,
bless.faith.astral.basic.level_05,name,칠성의 가호,
bless.faith.astral.basic.level_05,desc,15초마다 1.5초 무적,
bless.faith.astral.basic.level_06,name,칠성의 가호,
bless.faith.astral.basic.level_06,desc,15초마다 1.7초 무적,
bless.faith.astral.basic.level_07,name,칠성의 가호,
bless.faith.astral.basic.level_07,desc,15초마다 1.8초 무적,
bless.faith.astral.basic.level_08,name,칠성의 가호,
bless.faith.astral.basic.level_08,desc,15초마다 2초 무적,
bless.faith.astral.basic.level_09,name,칠성의 가호,
bless.faith.astral.basic.level_09,desc,15초마다 2.2초 무적,
bless.faith.astral.basic.level_10,name,칠성의 가호,
