main_key,sub_key,ko,en
item.strategic.emergency_pill,name,응급 단약,
item.strategic.emergency_pill,description,지정 위치 반경 1m 안의 모든 아군이 각각 체력 30을 즉시 회복한다.,
item.strategic.blackwind_bomb,name,흑풍탄,
item.strategic.thundercrash_orb,name,진천뢰,
item.strategic.thundercrash_orb,description,지정 위치 반경 5m 안의 모든 적에게 140 피해를 한 번 주고 1초간 기절시킨다.,
item.strategic.heavenfall_thunder,name,천뢰낙,
item.strategic.ten_thousand_thunder_charm,name,만뢰부적,
item.strategic.ten_thousand_thunder_charm,description,지정 위치 주변 반경 2m에 낙뢰 8회를 분산시켜 각 지점 반경 1m 안의 모든 적에게 회당 120 피해를 준다.,
item.strategic.night_parade_of_a_thousand_ghosts,name,만귀야행,
item.strategic.night_parade_of_a_thousand_ghosts,description,지정 위치 주변에 유도 귀신 20개를 소환한다. 각 귀신은 가장 가까운 적을 추적해 적중 시 110 피해를 준다.,
item.strategic.flash_charm,name,섬광부,
item.strategic.flash_charm,description,지정 위치 반경 4m 안에서 효과가 먼저 닿은 적 1명을 1초간 기절시킨다.,
item.strategic.gale_step,name,질풍보,
item.strategic.gale_step,description,4초간 모든 아군 이동속도 +20%,
item.strategic.ironbody_call,name,철신호,
item.strategic.ironbody_call,description,5초간 모든 아군 방어력을 20 증가시킨다.,
item.strategic.blood_meridian_release,name,혈맥 개방,
item.strategic.blood_meridian_release,description,모든 아군의 현재 체력을 10% 소모하고 재사용 대기시간을 20% 감소시킨다.,
item.strategic.frost_spirit_formation,name,빙령진,
item.strategic.frost_spirit_formation,description,6초간 범위 내 적의 이동속도를 60% 감소시킨다.,
item.strategic.ghost_soul_charm,name,귀혼부,
item.strategic.ghost_soul_charm,description,8초간 모든 아군의 흡혈을 12%p 증가시킨다.,
item.strategic.demon_lure_incense,name,요귀향,
item.strategic.demon_lure_incense,description,지정 위치에 향로를 설치해 반경 6m 안의 모든 적을 6초간 도발하고 향로 위치로 유인한다.,
item.strategic.soul_snare_formation,name,유혼진,
