main_key,sub_key,ko,en
skill.military_officer.1.passive_1,name,불퇴전,
skill.military_officer.1.basic_attack,name,전열베기,
skill.military_officer.1.active_1,name,돌격,
skill.military_officer.1.charge.self.damage_reduction,name,피해 감소(%),
skill.military_officer.1.charge.knockback,name,넉백,
effect.military_officer.1.indomitable_surrounded_attack,name,주변 적 10명 이상 시 공격력(%),
effect.military_officer.1.indomitable_surrounded_damage_reduction,name,주변 적 10명 이상 시 피해 감소(%),
skill.strategic.blackwind_bomb,name,흑풍탄,
effect.item.strategic.blackwind_bomb.knockback,name,흑풍탄 넥백,
skill.strategic.thundercrash_orb,name,진천뢰,
effect.item.strategic.thundercrash_orb.stun,name,진천뢰 기절,
skill.strategic.heavenfall_thunder,name,천뢰낙,
skill.strategic.ten_thousand_thunder_charm,name,만뢰부적,
skill.strategic.night_parade_of_a_thousand_ghosts,name,만귀야행,
skill.strategic.flash_charm,name,섬광부,
effect.item.strategic.flash_charm,name,섬광부 기절,
skill.strategic.gale_step,name,질풍보,
effect.item.strategic.gale_step,name,질풍보 이동속도 증가,
skill.strategic.ironbody_call,name,철신호,
effect.item.strategic.ironbody_call,name,철신호 방어력 증가,
skill.strategic.blood_meridian_release,name,혈맥 개방,
effect.item.strategic.blood_meridian_release,name,혈맥 개방 HP 소모,
effect.item.strategic.blood_meridian_release.cooldown_reduce,name,혈맥 개방 재사용 대기시간 감소,
skill.strategic.frost_spirit_formation,name,빙령진,
effect.item.strategic.frost_spirit_formation,name,빙령진 이동속도 감소,
skill.strategic.ghost_soul_charm,name,귀혼부,
effect.item.strategic.ghost_soul_charm,name,귀혼부 흡혈 증가,
skill.strategic.demon_lure_incense,name,요귀향,
effect.item.strategic.demon_lure_incense.taunt,name,요귀향 도발,
