main_key,sub_key,ko,en
item.strategic.emergency_pill,name,응급 단약,Emergency Pill
item.strategic.emergency_pill,desc,대상 아군 최대 HP 8% 회복,Restores 8% of max HP to a target ally
item.strategic.flash_charm,name,섬광부,Flash Charm
item.strategic.flash_charm,desc,반경 4m 적 1초 기절,Stuns enemies within 4m for 1 second
item.strategic.gale_step,name,질풍보,Gale Step
item.strategic.gale_step,desc,4초간 모든 아군 이동속도 20% 증가,Increases movement speed of all allies by 20% for 4 seconds
item.strategic.ironbody_call,name,철신호,Ironbody Call
item.strategic.ironbody_call,desc,5초간 받는 피해 20% 감소,Reduces incoming damage by 20% for 5 seconds
item.strategic.thundercrash_orb,name,진천뢰,Thundercrash Orb
item.strategic.thundercrash_orb,desc,반경 5m에 140 피해\n1초 기절,Deals 140 damage within 5m\nStuns for 1 second
item.strategic.blood_meridian_release,name,혈맥 개방,Blood Meridian Release
item.strategic.blood_meridian_release,desc,현재 모든 스킬의 남은 재사용 대기시간 20% 감소\n현재 HP 10% 소모,Reduces remaining cooldown of all current skills by 20%\nConsumes 10% of current HP
item.strategic.blackwind_bomb,name,흑풍탄,Blackwind Bomb
item.strategic.blackwind_bomb,desc,반경 6m에 240 피해\n적 넉백,Deals 240 damage within 6m\nKnocks enemies back
item.strategic.frost_spirit_formation,name,빙령진,Frost Spirit Formation
item.strategic.frost_spirit_formation,desc,6초간 반경 7m 적 이동속도 60% 감소,Reduces movement speed of enemies within 7m by 60% for 6 seconds
item.strategic.ghost_soul_charm,name,귀혼부,Ghost Soul Charm
item.strategic.ghost_soul_charm,desc,8초간 모든 아군 흡혈 12%,Grants all allies 12% lifesteal for 8 seconds
item.strategic.demon_lure_incense,name,요귀향,Demon Lure Incense
item.strategic.demon_lure_incense,desc,지정 위치로 향로 투사체 발사\n6초간 주변 적을 해당 위치로 유인,Fires an incense projectile to the target position\nLures nearby enemies to that position for 6 seconds
item.strategic.soul_snare_formation,name,유혼진,Soul Snare Formation
item.strategic.soul_snare_formation,desc,반경 8m 적 속박\n지속시간 2초,Roots enemies within 8m\nDuration 2 seconds
item.strategic.crushing_war_cry,name,파쇄격령,Crushing War Cry
item.strategic.crushing_war_cry,desc,8초간 모든 아군 공격력 40 증가,Increases attack of all allies by 40 for 8 seconds
